import time: self [us] | cumulative | imported package
import time:        27 |         27 |                     atexit
import time:      1243 |       1952 |                   logging
import time:       981 |       2932 |                 rich.segment
import time:       521 |       3453 |               rich.jupyter
import time:       395 |        395 |                 rich.protocol
import time:       547 |        942 |               rich.measure
import time:       419 |       4813 |             rich.constrain
import time:       496 |       5309 |           rich.align
import time:       570 |        570 |           rich.containers
import time:       524 |        524 |           rich.control
import time:       462 |        462 |           rich.emoji
import time:      1609 |      10981 |         rich.text
import time:       580 |      11560 |       rich._log_render
import time:       703 |        703 |       rich.highlighter
import time:       992 |        992 |       rich.markup
import time:       520 |        520 |       rich.pager
import time:        78 |         78 |         array
import time:       525 |        525 |         attr
import time:       473 |        473 |         rich.abc
import time:      1916 |       2990 |       rich.pretty
import time:       610 |        610 |       rich.region
import time:       503 |        503 |           rich.box
import time:       463 |        463 |           rich.padding
import time:       498 |       1462 |         rich.panel
import time:       549 |        549 |                   numbers
import time:       853 |       1402 |                 _decimal
import time:       392 |       1793 |               decimal
import time:      1092 |       2884 |             fractions
import time:       480 |       3364 |           rich._ratio
import time:      1540 |       4903 |         rich.table
import time:       439 |       6804 |       rich.scope
import time:       449 |        449 |       rich.screen
import time:       485 |        485 |       rich.styled
import time:      2608 |      46056 |     rich.console
import time:       574 |        574 |     textkit.cli_interface.abstractions
import time:       851 |        851 |     textkit.cli_interface.factory
import time:       909 |        909 |             rich._win32_console
import time:       790 |       1698 |           rich._windows
import time:       910 |       2608 |         textkit.cli_interface.middleware.error_handler
import time:       566 |        566 |         textkit.cli_interface.middleware.output_formatter
import time:       798 |       3971 |       textkit.cli_interface.middleware
import time:        23 |       3993 |     textkit.cli_interface.middleware.error_handler
import time:       897 |     105907 |   textkit.cli_interface.core
import time:       733 |     122934 | textkit.cli_interface
